"DC_NOME","SG_ESTADO","CD_SITUACAO","VL_LATITUDE","VL_LONGITUDE","VL_ALTITUDE","DT_INICIO_OPERACAO","CD_ESTACAO"
"LAGES","SC","Operante","-27.80222222","-50.33555555","952.7","11/5/2014","A865"
"LAGOA DA CONFUSAO","TO","Operante","-10.828286","-49.847882","178","11/14/2016","A055"
"LAGOA VERMELHA","RS","Operante","-28.222381","-51.512845","833.83","3/1/2007","A844"
"LARANJEIRAS DO SUL","PR","Operante","-25.37138888","-52.40083333","889","8/6/2016","B804"
"LENCOIS","BA","Operante","-12.55777777","-41.38888888","438.09","4/4/2008","A425"
"LINHARES","ES","Operante","-19.35694444","-40.0686111","40","10/26/2006","A614"
"LINS","SP","Operante","-21.66611111","-49.73472221","460.65","9/19/2006","A727"
"LUIZ EDUARDO MAGALHAES","BA","Operante","-12.1525","-45.82972221","760.68","4/17/2002","A404"
"LUZIANIA","GO","Operante","-16.26055555","-47.96694443","1000.82","10/20/2006","A012"
"Laguna  - Farol de Santa Marta","SC","Operante","-28.60444444","-48.81333333","34.36","5/31/2008","A866"
